Nicki Minaj;Lil Baby;{'label': 'Do We Have A Problem?'}
Aqua;Ice Spice;{'label': 'Barbie World (with Aqua) [From Barbie The Album]'}
Ice Spice;PinkPantheress;{'label': "Boy's a liar Pt. 2"}
Daft Punk;Pharrell Williams;{'label': 'Get Lucky - Radio Edit'}
Daft Punk;Nile Rodgers;{'label': 'Get Lucky - Radio Edit'}
Anne-Marie;Coi Leray;{'label': "Baby Don't Hurt Me"}
Manuel Turizo;Marshmello;{'label': 'El Merengue'}
Manuel Turizo;Sebastian Yatra;{'label': 'VAGABUNDO'}
Manuel Turizo;Beï¿½ï;{'label': 'VAGABUNDO'}
dennis;MC Kevin o Chris;{'label': 'Tï¿½ï¿'}
Charlie Puth;BTS;{'label': 'Left and Right (Feat. Jung Kook of BTS)'}
BTS;Coldplay;{'label': 'My Universe'}
BTS;Halsey;{'label': 'Boy With Luv (feat. Halsey)'}
BTS;FIFA Sound;{'label': 'Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]'}
BTS;Snoop Dogg;{'label': 'Bad Decisions (with BTS & Snoop Dogg)'}
BTS;Benny Blanco;{'label': 'Bad Decisions (with BTS & Snoop Dogg)'}
Rauw Alejandro;ROSALï¿½;{'label': 'BESO'}
Rauw Alejandro;Brray;{'label': 'LOKERA'}
Rauw Alejandro;Lyanno;{'label': 'LOKERA'}
Rauw Alejandro;Baby Rasta;{'label': 'PUNTO 40'}
Rauw Alejandro;Chencho Corleone;{'label': 'Desesperados'}
Rauw Alejandro;Chris Brown;{'label': 'Nostï¿½ï¿½l'}
Rauw Alejandro;Rvssian;{'label': 'Nostï¿½ï¿½l'}
Rauw Alejandro;Alvaro Diaz;{'label': 'Problemï¿½'}
ROSALï¿½;Wisin & Yandel;{'label': 'Besos Moja2'}
JVKE;Kodak Black;{'label': 'Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)'}
JVKE;NLE Choppa;{'label': 'Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)'}
JVKE;Muni Long;{'label': 'Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)'}
Coldplay;The Chainsmokers;{'label': 'Something Just Like This'}
Sam Smith;Kim Petras;{'label': 'Unholy (feat. Kim Petras)'}
Sam Smith;Calvin Harris;{'label': "I'm Not Here To Make Friends"}
Sam Smith;Jessie Reyez;{'label': "I'm Not Here To Make Friends"}
Em Beihold;Stephen Sanchez;{'label': 'Until I Found You (with Em Beihold) - Em Beihold Version'}
Mc Livinho;DJ Matt D;{'label': 'Novidade na ï¿½ï¿'}
Justin Bieber;The Kid Laroi;{'label': 'STAY (with Justin Bieber)'}
Justin Bieber;Don Toliver;{'label': 'Honest (feat. Don Toliver)'}
Justin Bieber;Future;{'label': 'Private Landing (feat. Justin Bieber & Future)'}
Justin Bieber;Daniel Caesar;{'label': 'Peaches (feat. Daniel Caesar & Giveon)'}
Justin Bieber;Giveon;{'label': 'Peaches (feat. Daniel Caesar & Giveon)'}
Marshmello;Jonas Brothers;{'label': 'Leave Before You Love Me (with Jonas Brothers)'}
Marshmello;Khalid;{'label': 'Numb'}
Marshmello;Juice WRLD;{'label': 'Bye Bye'}
Chencho Corleone;Nengo Flow;{'label': 'La Llevo Al Cielo (Ft. ï¿½ï¿½engo F'}
